muong,viet,mu_sentence,vi_sentence
ảo dáp,áo giáp,Cải nì là cải ảo dáp.,Cái mày là cái áo giáp.
ảo ẻ,nhau,"Cã tế, ảo ẻ tha thước pẫu rằng nhau tiền đão.","Lúc sinh con, nhau ra trước, người ta bảo đó là nhau tiền đạo (nơi chôn nhau cắt rốn)."
ảo gẩm,áo gấm,ảo gẩm ti khẩm.,áo gấm đi đêm.
ảo kép,áo kép,Ngày hỗi pẫu măc ảo kép.,Ngày hội người ta mặc áo kép.
ảo kềl,áo gối,Ủn Phúc pả ảo kềl thốch lẳm.,Cô Phúc khôu áo gối đẹp lắm.
ảo khoang,áo choàng,Pái nì băl ảo khoang chắc thốch.,Vải này may áo choàng chắc là đẹp.
Ảo lẵn,áo lặn,Cải nì là ảo lẵn.,Cái này là áo lặn.
ảo lót,áo lót,Ho ói khây măc ảo lót.,Tôi ít khi mặc áo lót.
ảo lũa,áo lụa,"Ảo lũa, ảo lĩnh.","Áo lụa, áo lĩnh."
ảo mưa,áo mưa,"Da tỉ chỡ, mua đủm ho môch cải ảo mưa.",Cậu đi chợ mua giùm tôi một cái áo mưa.
ảo pẳn,áo ngắn,Ảo nì hốc là ảo pẳn.,Áo này gọi là áo ngắn.
ảo pông,áo bông,Khẳng chả phái cỏ ảo pông tí măc.,Mùa rét phải có áo bông để mặc.
ảo tainh,áo đan,"Ảo len nì là ảo tainh, chăng phái ảo chuông.","Chiếc áo len này là áo đan, không phải là áo dệt."
ảo tan,áo đơn,Ảo kép ảo tan ủn mãi tỏng tàn tỉ dỗng.,Các cô gái mặc áo hép áo đơn kéo thành đoàn đi chơi.
ảo táy,áo ngủ,Ảo rỗng nì là ảo táy.,Áo rộng này là áo ngủ.
ảo thẳm,áo tắm,Thẳm pế pẫu hay măc ảo thẳm.,Khi tắm biển người ta hay mặc áo tắm.
ảo tlòn,vải bọc ngoài quan tài,,
ảo tỗi,áo giấy đậy ngoài quan tài của người chết thuộc họ quyền quý,,
áo tơi,áo tơi,Ảo tơi pẫu tainh pằng lả mỉ mùi. Áo ứơi người ta dan bằng lá cọ.,
